List Type,List Size,Algorithm,Run Time
Reverse Ordered Data,10,Bubble Sort,0.00001235
Reverse Ordered Data,10,Bubble Sort,0.00000913
Reverse Ordered Data,10,Bubble Sort,0.00000911
Reverse Ordered Data,10,Bubble Sort,0.00000892
Reverse Ordered Data,10,Bubble Sort,0.00000910
Reverse Ordered Data,10,Bubble Sort,0.00000913
Reverse Ordered Data,10,Bubble Sort,0.00000908
Reverse Ordered Data,10,Bubble Sort,0.00000908
Reverse Ordered Data,10,Bubble Sort,0.00000901
Reverse Ordered Data,10,Bubble Sort,0.00000934
Reverse Ordered Data,10,Bubble Sort,0.00000910
Reverse Ordered Data,10,Bubble Sort,0.00000897
Reverse Ordered Data,10,Bubble Sort,0.00000954
Reverse Ordered Data,10,Bubble Sort,0.00000910
Reverse Ordered Data,10,Bubble Sort,0.00001017
Reverse Ordered Data,10,Bubble Sort,0.00000892
Reverse Ordered Data,10,Bubble Sort,0.00000868
Reverse Ordered Data,10,Bubble Sort,0.00011738
Reverse Ordered Data,10,Bubble Sort,0.00001003
Reverse Ordered Data,10,Bubble Sort,0.00000879
Reverse Ordered Data,10,Bubble Sort,0.00000865
Reverse Ordered Data,10,Bubble Sort,0.00000864
Reverse Ordered Data,10,Bubble Sort,0.00000882
Reverse Ordered Data,10,Bubble Sort,0.00000882
Reverse Ordered Data,10,Bubble Sort,0.00000869
Reverse Ordered Data,10,Bubble Sort,0.00000892
Reverse Ordered Data,10,Bubble Sort,0.00000855
Reverse Ordered Data,10,Bubble Sort,0.00000880
Reverse Ordered Data,10,Bubble Sort,0.00000878
Reverse Ordered Data,10,Bubble Sort,0.00000865
Reverse Ordered Data,10,Bubble Sort,0.00000873
Reverse Ordered Data,10,Bubble Sort,0.00000877
Reverse Ordered Data,10,Bubble Sort,0.00000893
Reverse Ordered Data,10,Bubble Sort,0.00000864
Reverse Ordered Data,10,Bubble Sort,0.00000881
Reverse Ordered Data,10,Bubble Sort,0.00000875
Reverse Ordered Data,10,Bubble Sort,0.00000857
Reverse Ordered Data,10,Bubble Sort,0.00000882
Reverse Ordered Data,10,Bubble Sort,0.00000882
Reverse Ordered Data,10,Bubble Sort,0.00000877
Reverse Ordered Data,10,Bubble Sort,0.00000832
Reverse Ordered Data,10,Bubble Sort,0.00000852
Reverse Ordered Data,10,Bubble Sort,0.00000850
Reverse Ordered Data,10,Bubble Sort,0.00000874
Reverse Ordered Data,10,Bubble Sort,0.00000830
Reverse Ordered Data,10,Bubble Sort,0.00000819
Reverse Ordered Data,10,Bubble Sort,0.00000836
Reverse Ordered Data,10,Bubble Sort,0.00000872
Reverse Ordered Data,10,Bubble Sort,0.00000838
Reverse Ordered Data,10,Bubble Sort,0.00000850
Reverse Ordered Data,10,Bubble Sort,0.00000839
Reverse Ordered Data,10,Bubble Sort,0.00000851
Reverse Ordered Data,10,Bubble Sort,0.00000841
Reverse Ordered Data,10,Bubble Sort,0.00000850
Reverse Ordered Data,10,Bubble Sort,0.00000846
Reverse Ordered Data,10,Bubble Sort,0.00000861
Reverse Ordered Data,10,Bubble Sort,0.00000845
Reverse Ordered Data,10,Bubble Sort,0.00000860
Reverse Ordered Data,10,Bubble Sort,0.00000845
Reverse Ordered Data,10,Bubble Sort,0.00000830
Reverse Ordered Data,10,Bubble Sort,0.00000855
Reverse Ordered Data,10,Bubble Sort,0.00000838
Reverse Ordered Data,10,Bubble Sort,0.00000833
Reverse Ordered Data,10,Bubble Sort,0.00000838
Reverse Ordered Data,10,Bubble Sort,0.00000834
Reverse Ordered Data,10,Bubble Sort,0.00000847
Reverse Ordered Data,10,Bubble Sort,0.00000855
Reverse Ordered Data,10,Bubble Sort,0.00000847
Reverse Ordered Data,10,Bubble Sort,0.00000825
Reverse Ordered Data,10,Bubble Sort,0.00000845
Reverse Ordered Data,10,Bubble Sort,0.00000962
Reverse Ordered Data,10,Bubble Sort,0.00000824
Reverse Ordered Data,10,Bubble Sort,0.00000859
Reverse Ordered Data,10,Bubble Sort,0.00000830
Reverse Ordered Data,10,Bubble Sort,0.00000839
